"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05310","Human Diseases","Immune disease","hsa05310","Asthma","4/801","32/8541",0.352793887185233,0.681533645698746,0.519062776600283,"3122/3119/3112/3111",4
"hsa04973","Organismal Systems","Digestive system","hsa04973","Carbohydrate digestion and absorption","6/801","52/8541",0.361059384589961,0.693560399777325,0.528222471657034,"110117499/776/80201/92579/23236/5332",6
"hsa00515","Metabolism","Glycan biosynthesis and metabolism","hsa00515","Mannose type O-glycan biosynthesis","3/801","23/8541",0.367690602520344,0.702330364364701,0.534901763571878,"55624/729920/9215",3
"hsa01210","Metabolism","Global and overview maps","hsa01210","2-Oxocarboxylic acid metabolism","4/801","33/8541",0.374900745240202,0.710025977536569,0.540762818804941,"64902/55526/586/3418",4
"hsa04975","Organismal Systems","Digestive system","hsa04975","Fat digestion and absorption","5/801","43/8541",0.377678068232068,0.710025977536569,0.540762818804941,"338/948/19/80168/949",5
"hsa05217","Human Diseases","Cancer: specific types","hsa05217","Basal cell carcinoma","7/801","63/8541",0.377984417453291,0.710025977536569,0.540762818804941,"7476/7474/2932/2737/6934/7481/81029",7
"hsa03250","Genetic Information Processing","Information processing in viruses","hsa03250","Viral life cycle - HIV-1","7/801","64/8541",0.393864112312907,0.732817392501303,0.558120986239382,"7469/636/11052/1387/79643/8178/4600",7
"hsa00600","Metabolism","Lipid metabolism","hsa00600","Sphingolipid metabolism","6/801","54/8541",0.395727819063216,0.732817392501303,0.558120986239382,"8879/81537/9517/79603/55304/64781",6
"hsa04625","Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","11/801","105/8541",0.396583530059528,0.732817392501303,0.558120986239382,"110117499/114548/3708/5602/5530/4790/5336/8844/4772/4773/5594",11
"hsa04670","Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","12/801","116/8541",0.405256707715904,0.742884856246579,0.565788466367364,"110117499/5906/1496/7410/29119/4313/1003/5336/5578/71/7408/23562",12
